program: PROGRAMSYM
pp: IDENT
;: SEMICOLON
var: VARSYM
a: IDENT
,: COMMA
b: IDENT
,: COMMA
c: IDENT
,: COMMA
d: IDENT
,: COMMA
e: IDENT
,: COMMA
f: IDENT
,: COMMA
g: IDENT
,: COMMA
h: IDENT
:: COLON
integer: IDENT
;: SEMICOLON
const: CONSTSYM
var: VARSYM
N: IDENT
:: COLON
integer: IDENT
;: SEMICOLON
var: VARSYM
arr: IDENT
:: COLON
array: ARRAYSYM
;: SEMICOLON
procedure: PROCSYM
proc: IDENT
(: LPAREN
): RPAREN
;: SEMICOLON
begin: BEGINSYM
call: CALLSYM
write: IDENT
(: LPAREN
1: INTCON
): RPAREN
;: SEMICOLON
end: ENDSYM
;: SEMICOLON
begin: BEGINSYM
_: ERROR
a: IDENT
:=: BECOME
0: INTCON
;: SEMICOLON
^: ERROR
b: IDENT
:=: BECOME
1: INTCON
;: SEMICOLON
%: ERROR
c: IDENT
:=: BECOME
2: INTCON
;: SEMICOLON
@: ERROR
d: IDENT
:=: BECOME
3: INTCON
;: SEMICOLON
!: ERROR
e: IDENT
:=: BECOME
4: INTCON
;: SEMICOLON
~: ERROR
f: IDENT
:=: BECOME
5: INTCON
;: SEMICOLON
$: ERROR
g: IDENT
:=: BECOME
6: INTCON
;: SEMICOLON
\: ERROR
h: IDENT
:=: BECOME
7: INTCON
;: SEMICOLON
arr: IDENT
[: LBRACK
0: INTCON
]: RBRACK
:=: BECOME
a: IDENT
+: PLUS
b: IDENT
*: TIMES
c: IDENT
/: DIVSYM
d: IDENT
;: SEMICOLON
#: ERROR
c: IDENT
:=: BECOME
a: IDENT
+: PLUS
b: IDENT
;: SEMICOLON
&: ERROR
call: CALLSYM
write: IDENT
(: LPAREN
a: IDENT
): RPAREN
;: SEMICOLON
call: CALLSYM
write: IDENT
(: LPAREN
b: IDENT
): RPAREN
;: SEMICOLON
call: CALLSYM
write: IDENT
(: LPAREN
c: IDENT
): RPAREN
;: SEMICOLON
call: CALLSYM
write: IDENT
(: LPAREN
d: IDENT
): RPAREN
;: SEMICOLON
call: CALLSYM
write: IDENT
(: LPAREN
e: IDENT
): RPAREN
;: SEMICOLON
call: CALLSYM
write: IDENT
(: LPAREN
f: IDENT
): RPAREN
;: SEMICOLON
call: CALLSYM
write: IDENT
(: LPAREN
g: IDENT
): RPAREN
;: SEMICOLON
call: CALLSYM
write: IDENT
(: LPAREN
h: IDENT
): RPAREN
end: ENDSYM
.: PERIOD
